,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap,prechgPct,chgPct
91,600066.XSHG,600066,郑州客车,XSHG,1997/9/16,18.34,18.34,18.34,18.6,18.34,18.4,73007,1344621,,0.0021,0.022458922,644000000,1343200000,0.0033,,,3.9624,1,,-0.0086,
92,600066.XSHG,600066,郑州客车,XSHG,1997/9/17,18.4,18.4,18.45,18.5,18.4,18.4,79236,1462275,,0.0023,0.022458922,644000000,1343200000,0,,,3.9624,1,,0.0033,
93,600066.XSHG,600066,郑州客车,XSHG,1997/9/18,18.4,18.4,18.5,18.53,18.35,18.39,102100,1880207,,0.0029,0.022458922,643650000,1342470000,-0.0005,,,3.9602,1,,0,
94,600066.XSHG,600066,郑州客车,XSHG,1997/9/19,18.39,18.39,18.39,18.7,18.39,18.52,74420,1375987,,0.0021,0.022458922,648200000,1351960000,0.0071,,,3.9882,1,,-0.0005,
95,600066.XSHG,600066,郑州客车,XSHG,1997/9/22,18.52,18.52,18.6,18.67,17.68,17.68,139800,2513042,,0.004,0.022458922,618800000,1290640000,-0.0454,,,3.8073,1,,0.0071,
96,600066.XSHG,600066,郑州客车,XSHG,1997/9/23,17.68,17.68,17.53,17.7,16.82,17.07,221979,3829911,,0.0063,0.022458922,597450000,1246110000,-0.0345,,,3.676,1,,-0.0454,
97,600066.XSHG,600066,郑州客车,XSHG,1997/9/24,17.07,17.07,17.27,17.99,17.27,17.76,137662,2422322,,0.0039,0.022458922,621600000,1296480000,0.0404,,,3.8246,1,,-0.0345,
98,600066.XSHG,600066,郑州客车,XSHG,1997/9/25,17.76,17.76,17.89,17.95,17.55,17.61,104478,1850969,,0.003,0.022458922,616350000,1285530000,-0.0084,,,3.7923,1,,0.0404,
99,600066.XSHG,600066,郑州客车,XSHG,1997/9/26,17.61,17.61,17.6,17.7,17.5,17.65,123712,2179285,,0.0035,0.022458922,617750000,1288450000,0.0023,,,3.8009,1,,-0.0084,
100,600066.XSHG,600066,郑州客车,XSHG,1997/9/29,17.65,17.65,17.61,17.65,17.17,17.2,80049,1381308,,0.0023,0.022458922,602000000,1255600000,-0.0255,,,3.704,1,,0.0023,
